,policy_id,subscription_length,customer_age,vehicle_age,model,fuel_type,max_torque,region_code,region_density,segment,claim_status
88,POL007151,1.0,37,0.2,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
89,POL000675,12.2,43,1.2,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
90,POL054389,10.6,36,2.4,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
91,POL044610,5.7,39,0.6,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
92,POL055795,12.2,40,2.2,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
93,POL033481,1.7,39,2.2,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
94,POL058556,1.2,38,2.0,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
95,POL008270,0.9,48,3.6,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
96,POL007506,8.1,40,2.0,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
97,POL002933,0.9,40,1.6,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
98,POL022307,11.1,40,2.2,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
99,POL010506,5.4,36,1.6,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
100,POL033567,9.9,47,0.6,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
101,POL048217,0.1,44,2.4,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
102,POL008424,3.6,44,0.2,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
103,POL039072,8.3,35,2.6,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
104,POL031841,1.0,44,1.8,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
105,POL046222,5.0,35,2.0,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
106,POL044133,6.1,59,1.2,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
107,POL048275,0.6,43,0.4,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
108,POL006726,5.6,49,0.8,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
109,POL051914,8.1,36,2.0,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
110,POL005155,1.0,40,0.0,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
111,POL042183,0.8,40,2.8,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
112,POL031936,0.9,53,1.0,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
113,POL003180,3.7,40,0.0,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
114,POL027631,3.5,35,0.8,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
115,POL039378,4.5,40,0.8,M2,Petrol,113Nm@4400rpm,C1,4990,C1,1
116,POL014351,2.9,51,6.2,M2,Petrol,113Nm@4400rpm,C1,4990,C1,0
117,POL016861,0.1,43,1.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
118,POL011603,1.5,52,3.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
119,POL025349,0.8,48,1.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
120,POL026087,0.8,41,1.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
121,POL052449,6.9,38,2.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
122,POL046162,5.8,57,0.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
123,POL015844,12.2,38,0.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
124,POL030455,5.2,45,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
125,POL008274,2.6,39,1.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
126,POL008619,11.7,39,1.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,1
127,POL052957,2.2,38,0.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
128,POL058442,4.4,37,1.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
129,POL030417,5.9,37,2.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
130,POL017561,5.2,39,2.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
131,POL015893,3.6,46,0.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
132,POL049281,12.1,62,1.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
133,POL009574,4.5,36,3.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
134,POL000129,1.3,35,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
135,POL017730,0.9,39,3.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
136,POL020849,0.9,35,1.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
137,POL043274,1.8,56,3.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
138,POL055562,10.3,48,1.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
139,POL026080,1.1,54,2.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
140,POL057486,5.6,35,1.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,1
141,POL024600,10.4,47,1.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
142,POL018434,2.8,43,1.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
143,POL028310,11.3,43,2.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
144,POL016277,11.2,45,1.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
145,POL030101,4.6,52,0.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
146,POL017778,1.0,36,4.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
147,POL042060,5.1,37,0.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
148,POL018140,12.4,49,0.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
149,POL004135,1.0,39,1.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
150,POL057322,10.4,64,2.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
151,POL025843,0.8,35,0.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
152,POL048093,0.9,47,1.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
153,POL041681,12.0,58,4.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
154,POL044075,10.4,54,3.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
155,POL034444,0.1,62,1.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
156,POL035593,0.9,44,1.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
157,POL036941,2.4,35,1.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
158,POL054394,2.9,35,0.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
159,POL055823,3.3,45,0.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
160,POL056465,9.9,45,3.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
161,POL040027,5.3,43,0.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
162,POL058454,5.2,39,0.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
163,POL031161,7.6,48,0.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
164,POL008256,0.9,48,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
165,POL030108,8.9,41,1.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
166,POL000444,0.9,46,1.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
167,POL034772,0.9,37,4.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
168,POL053681,3.6,42,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
169,POL015603,1.0,48,4.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
170,POL050309,6.0,53,1.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
171,POL055797,1.2,53,0.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
172,POL003257,0.8,38,4.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
173,POL040367,0.9,37,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
174,POL008821,0.5,36,0.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
175,POL033717,0.1,63,2.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
176,POL043776,9.9,49,3.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
177,POL021340,0.9,38,1.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
178,POL001912,4.2,49,0.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
179,POL057410,3.0,51,0.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
180,POL018110,9.8,42,3.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
181,POL031328,10.6,52,0.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
182,POL036453,11.4,36,1.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
183,POL039329,0.9,40,2.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
184,POL022985,12.3,47,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
185,POL002664,0.7,43,0.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
186,POL030153,7.0,44,0.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
187,POL007730,0.9,41,1.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
188,POL013543,12.3,39,1.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
189,POL030666,6.1,46,2.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
190,POL036702,3.2,43,3.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
191,POL030032,2.1,40,1.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
192,POL006951,6.1,38,0.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
193,POL014591,10.2,40,2.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
194,POL006903,11.6,41,1.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
195,POL021811,6.0,48,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
196,POL055899,13.4,40,0.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
197,POL007267,5.1,35,2.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
198,POL028329,10.4,44,0.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
199,POL016980,11.5,36,2.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
200,POL021040,11.9,56,2.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
201,POL036393,0.9,37,4.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
202,POL015199,2.5,45,3.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,1
203,POL051275,11.5,44,2.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
204,POL014577,5.7,46,2.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
205,POL048273,3.9,40,0.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
206,POL056405,0.9,37,0.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
207,POL027429,0.6,43,1.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
208,POL056846,0.3,38,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
209,POL033453,10.1,46,2.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
210,POL018823,10.6,47,2.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
211,POL058518,0.9,45,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
212,POL031668,1.9,53,0.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
213,POL007633,5.7,37,2.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
214,POL055069,2.4,57,1.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
215,POL024747,0.9,47,0.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
216,POL036144,1.6,52,2.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
217,POL033421,0.8,39,2.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
218,POL007553,11.2,44,2.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
219,POL012287,12.3,53,1.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
220,POL042377,0.9,41,2.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
221,POL049419,11.4,39,3.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
222,POL049320,0.5,35,0.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
223,POL036254,12.5,39,3.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
224,POL020199,5.9,45,0.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
225,POL003769,2.2,48,1.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
226,POL026805,2.6,51,1.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,1
227,POL017826,5.3,54,0.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
228,POL039178,0.8,40,4.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
229,POL047107,5.6,43,1.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
230,POL055995,0.9,39,0.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
231,POL056119,3.4,44,0.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
232,POL004853,1.0,38,0.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
233,POL054686,2.1,44,1.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
234,POL043205,0.8,50,4.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
235,POL015832,5.2,44,1.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
236,POL002622,6.7,50,1.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
237,POL015849,4.3,50,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
238,POL042736,0.9,43,3.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
239,POL047133,6.9,48,3.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
240,POL025715,5.8,43,1.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
241,POL052707,3.3,36,1.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
242,POL024629,1.0,39,0.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
243,POL016280,0.8,39,2.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
244,POL012799,9.9,48,2.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
245,POL033234,5.2,49,2.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
246,POL058166,11.3,35,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
247,POL007442,0.9,65,5.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
248,POL003555,6.7,47,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
249,POL037633,10.8,57,0.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
250,POL040865,3.5,54,1.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
251,POL033098,2.8,37,1.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
252,POL011337,10.8,60,0.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
253,POL030681,2.7,36,0.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
254,POL022592,3.8,53,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
255,POL009197,8.4,38,0.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
256,POL006646,6.1,51,0.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
257,POL050450,1.0,37,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
258,POL021844,3.1,40,1.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
259,POL057360,0.5,41,1.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
260,POL025371,5.1,40,3.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
261,POL044497,4.9,48,0.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
262,POL054886,7.8,49,2.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
263,POL058163,9.8,52,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
264,POL052279,4.1,57,1.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
265,POL004867,5.5,38,0.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
266,POL022051,11.4,48,1.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
267,POL001331,11.2,40,1.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,1
268,POL056530,7.1,51,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
269,POL049214,1.7,44,0.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
270,POL041922,12.0,54,3.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
271,POL018352,11.1,56,0.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
272,POL013089,10.8,43,0.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
273,POL047841,9.4,50,0.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,1
274,POL010092,5.1,35,0.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
275,POL009443,11.6,40,1.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
276,POL055740,12.3,43,0.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
277,POL013813,4.7,43,0.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
278,POL004384,2.6,36,1.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
279,POL021491,12.0,50,1.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
280,POL020167,4.5,48,0.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
281,POL018002,1.6,48,0.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
282,POL046772,2.0,35,0.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
283,POL051802,1.0,35,4.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
284,POL005387,10.1,49,2.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
285,POL021875,2.7,39,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
286,POL048127,11.6,57,2.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
287,POL013859,3.4,39,0.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
288,POL003592,1.7,54,3.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
289,POL045634,11.9,54,0.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
290,POL010633,0.9,35,2.0,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
291,POL025393,11.5,39,3.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
292,POL035181,1.9,41,1.2,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
293,POL000509,7.8,50,0.4,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
294,POL044853,12.1,45,3.6,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
295,POL050953,1.6,45,1.8,M4,Diesel,250Nm@2750rpm,C1,4990,C2,0
